term,estimate,std.error,statistic,p.value,model,Coef_CI,PR,lci,uci
(Intercept),-1.5331349979717255,0.003839481424430645,-399.3078305357535,0,M0,"0.22 	(0.21, 0.22)",0.21585789140632658,0.21423957483592837,0.21748843236861892
I(o_htn >= 1)TRUE,0.3353316955786828,0.00584063108370346,57.413606641639454,0,M0,"1.4 	(1.38, 1.41)",1.3984041527780793,1.3824870104231985,1.414504555748673
(Intercept),-3.323768105280598,0.014288032754081836,-232.6260138458219,0,M1,"0.04 	(0.04, 0.04)",0.03601686041584788,0.03502221692882505,0.037039752133651974
I(o_htn >= 1)TRUE,0.3281027264062487,0.005809646738270154,56.47550379353059,0,M1,"1.39 	(1.37, 1.4)",1.3883315832785617,1.3726124458417963,1.4042307360448574
sexMale,0.04703424307711927,0.004756895701618764,9.887591830342968,9.374484464474547e-23,M1,"1.05 	(1.04, 1.06)",1.0481579006169577,1.0384307999555429,1.0579761161483106
age,0.028854597610991746,1.2532222876681493e-4,230.24325289235827,0,M1,"1.03 	(1.03, 1.03)",1.0292749245612356,1.0290221331952591,1.0295277780283782
educationNo education,0.12377817157727479,0.008797910578643214,14.069041787915452,9.114349234361653e-44,M1,"1.13 	(1.11, 1.15)",1.1317647855539852,1.1124160447786895,1.151450067474428
educationPrimary,0.1535755829656006,0.008797369333303225,17.45698937342855,1.7402805209651456e-65,M1,"1.17 	(1.15, 1.19)",1.1659959132206537,1.1460631701546042,1.1862753337269036
educationSecondary,0.11475799991220709,0.007643685301085992,15.013438595634309,2.0477955341339895e-49,M1,"1.12 	(1.1, 1.14)",1.1216019769496255,1.10492380376357,1.1385318973239271
smokecurr,-0.028429754497817546,0.005303208907761197,-5.360858867206016,8.821891420226428e-8,M1,"0.97 	(0.96, 0.98)",0.9719705683088095,0.9619199498845008,0.9821262005970297
alcohol,0.16859405524168902,0.0064025098465046665,26.332494487881167,1.6423452705288927e-139,M1,"1.18 	(1.17, 1.2)",1.1836395491134197,1.1688789603528262,1.1985865344026096
swealthq_ur,0.03704285168161095,0.001529512666464616,24.218728287640438,7.012620342192694e-120,M1,"1.04 	(1.03, 1.04)",1.03773748868185,1.0346311711757021,1.0408531324181736
nmembers,-0.02606266514808131,9.591587477581869e-4,-27.17242084169779,1.289518934687846e-147,M1,"0.97 	(0.97, 0.98)",0.9742740346691066,0.9724441676507237,0.9761073449836871
