term,estimate,std.error,statistic,p.value,model,Coef_CI,PR,lci,uci
(Intercept),-1.5331349979711024,0.0038079892451136623,-402.610117646312,0,M0,"0.22 	(0.21, 0.22)",0.21585789140646108,0.21425279911156042,0.21747500838101977
I(o_htn >= 1)TRUE,0.3353316955786088,0.005898694061136374,56.84846376216496,0,M0,"1.4 	(1.38, 1.41)",1.3984041527779758,1.3823296876035132,1.4146655403870516
(Intercept),-3.3237681052806565,0.014084129265825028,-235.9938653322176,0,M1,"0.04 	(0.04, 0.04)",0.03601686041584577,0.03503621638439237,0.037024952123323164
I(o_htn >= 1)TRUE,0.3281027264062588,0.005850855894350678,56.077731588477505,0,M1,"1.39 	(1.37, 1.4)",1.3883315832785756,1.3725015844859865,1.4043441602660505
sexMale,0.04703424307711373,0.004755291494372362,9.890927429533246,4.582691222481413e-23,M1,"1.05 	(1.04, 1.06)",1.048157900616952,1.03843406504277,1.0579727896161484
age,0.028854597610992825,1.2608607222591757e-4,228.84841363994548,0,M1,"1.03 	(1.03, 1.03)",1.0292749245612367,1.029020592613235,1.0295293193697292
educationNo education,0.12377817157728092,0.00864882597045026,14.311557661141954,1.897349609696387e-46,M1,"1.13 	(1.11, 1.15)",1.1317647855539923,1.1127411467306858,1.1511136562024566
educationPrimary,0.15357558296560161,0.008825972911586722,17.40041403979247,8.622312277532726e-68,M1,"1.17 	(1.15, 1.19)",1.165995913220655,1.1459989202007388,1.186341841761181
educationSecondary,0.11475799991221054,0.007466231063134339,15.370271686185252,2.6732137266562534e-53,M1,"1.12 	(1.11, 1.14)",1.1216019769496293,1.1053081744904687,1.1381359730531557
smokecurr,-0.028429754497816435,0.005275868689395,-5.38863951541534,7.10286258991964e-8,M1,"0.97 	(0.96, 0.98)",0.9719705683088106,0.9619714975045284,0.9820735729793335
alcohol,0.1685940552416931,0.006484495211888425,25.999565075258168,6.462046354485467e-149,M1,"1.18 	(1.17, 1.2)",1.1836395491134246,1.1686911467446814,1.1987791523259494
swealthq_ur,0.03704285168161566,0.0015501420368047912,23.896424199920236,4.002317131007411e-126,M1,"1.04 	(1.03, 1.04)",1.037737488681855,1.0345893381938334,1.0408952186727085
nmembers,-0.026062665148081147,9.757752168428046e-4,-26.709701884424668,4.822544086395889e-157,M1,"0.97 	(0.97, 0.98)",0.9742740346691068,0.9724124973330919,0.9761391356381095
residenceUrban,0.11454520361422572,0.004768439943535198,24.021525901677787,1.9952683728158353e-127,M1,"1.12 	(1.11, 1.13)",1.1213633295936594,1.110931731889022,1.1318928795194352
